iter	Passed	Remaining
590	8640	5979
591	8655	5965
592	8670	5950
593	8685	5936
594	8700	5922
595	8715	5907
596	8731	5894
597	8746	5879
598	8762	5866
599	8790	5860
600	8815	5852
601	8835	5841
602	8854	5829
603	8871	5816
604	8887	5802
605	8904	5789
606	8917	5773
607	8931	5758
608	8945	5743
609	8959	5728
610	8974	5713
611	8988	5698
612	9000	5682
613	9015	5667
614	9033	5655
615	9048	5640
616	9065	5627
617	9079	5612
618	9096	5598
619	9113	5585
620	9129	5571
621	9143	5556
622	9157	5541
623	9173	5527
624	9187	5512
625	9202	5497
626	9214	5481
627	9228	5466
628	9243	5452
629	9257	5436
630	9271	5421
631	9284	5406
632	9296	5390
633	9309	5374
634	9325	5360
635	9337	5344
636	9350	5328
637	9363	5312
638	9386	5302
639	9401	5288
640	9415	5273
641	9430	5258
642	9442	5242
643	9453	5226
644	9467	5210
645	9478	5193
646	9488	5177
647	9499	5160
648	9511	5143
649	9523	5128
650	9536	5112
651	9548	5096
652	9561	5080
653	9571	5064
654	9585	5048
655	9597	5032
656	9608	5016
657	9619	4999
658	9634	4985
659	9646	4969
660	9657	4952
661	9667	4936
662	9678	4919
663	9691	4904
664	9704	4888
665	9717	4873
666	9732	4858
667	9748	4844
668	9764	4831
669	9780	4817
670	9796	4803
671	9809	4788
672	9819	4771
673	9832	4755
674	9845	4740
675	9857	4724
676	9868	4708
677	9878	4691
678	9892	4676
679	9905	4661
680	9917	4645
681	9927	4628
682	9940	4613
683	9953	4598
684	9964	4582
685	9975	4565
686	9987	4550
687	9998	4534
688	10009	4518
689	10021	4502
690	10033	4486
691	10045	4470
692	10058	4455
693	10069	4440
694	10081	4424
695	10092	4408
696	10104	4392
697	10115	4376
698	10126	4360
699	10138	4345
700	10151	4329
701	10163	4314
702	10175	4298
703	10188	4283
704	10199	4268
705	10211	4252
706	10222	4236
707	10233	4220
708	10245	4205
709	10257	4189
710	10269	4174
711	10281	4158
712	10293	4143
713	10304	4127
714	10315	4111
715	10327	4096
716	10338	4080
717	10350	4065
718	10364	4050
719	10376	4035
720	10387	4019
721	10400	4004
722	10413	3989
723	10427	3974
724	10442	3960
725	10454	3945
726	10466	3930
727	10477	3914
728	10490	3899
729	10502	3884
730	10513	3868
731	10525	3853
732	10536	3837
733	10547	3822
734	10561	3807
735	10574	3792
736	10585	3777
737	10597	3762
738	10609	3746
739	10621	3731
740	10632	3716
741	10643	3700
742	10656	3686
743	10669	3671
744	10680	3655
745	10691	3640
746	10704	3625
747	10715	3610
748	10727	3594
749	10739	3579
750	10751	3564
751	10762	3549
752	10774	3534
753	10786	3519
